Entry	Protein names	Gene Names	Organism
Q9U4G1	Protein borderless	bdl CG16857	Drosophila melanogaster (Fruit fly)
Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	lola CG12052	Drosophila melanogaster (Fruit fly)
Q9VQ56	Fez family zinc finger protein erm (Earmuff)	erm dFezf dfezl CG31670	Drosophila melanogaster (Fruit fly)
P05709	Protein single-minded	sim CG7771	Drosophila melanogaster (Fruit fly)
P10041	Neurogenic locus protein delta	Delta Dl CG3619	Drosophila melanogaster (Fruit fly)
P13096	Enhancer of split m5 protein (E(spl)m5)	E(spl)m5-HLH HLHm5 CG6096	Drosophila melanogaster (Fruit fly)
P13097	Enhancer of split m7 protein (E(spl)m7)	E(spl)m7-HLH HLHm7 CG8361	Drosophila melanogaster (Fruit fly)
P15278	Fasciclin-3 (Fasciclin III) (FAS III)	Fas3 CG5803	Drosophila melanogaster (Fruit fly)
P16621	Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)	Lar CG10443	Drosophila melanogaster (Fruit fly)
P21520	Protein scabrous	sca CG17579	Drosophila melanogaster (Fruit fly)
P35992	Tyrosine-protein phosphatase 10D (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 10D) (DPTP10D)	Ptp10D CG1817	Drosophila melanogaster (Fruit fly)
P49657	Serine/threonine-protein kinase minibrain (EC 2.7.12.1)	mnb CG7826	Drosophila melanogaster (Fruit fly)
Q01068	Enhancer of split m3 protein (E(spl)m3) (HLH-m3)	E(spl)m3-HLH HLHm3 CG8346	Drosophila melanogaster (Fruit fly)
Q01069	Enhancer of split mbeta protein (E(spl)mbeta) (HLH-mbeta) (Split locus enhancer protein mA)	E(spl)mbeta-HLH HLHmbeta CG14548	Drosophila melanogaster (Fruit fly)
Q09101	Locomotion-related protein Hikaru genki	hig CG2040	Drosophila melanogaster (Fruit fly)
Q7KNS3	Lissencephaly-1 homolog (DLis-1) (Dlis1) (Lissencephaly1)	Lis-1 Lis1 CG8440	Drosophila melanogaster (Fruit fly)
Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	lola CG12052	Drosophila melanogaster (Fruit fly)
Q7M3M8	Transcription factor castor (Protein ming)	cas ming CG2102	Drosophila melanogaster (Fruit fly)
Q9VF87	Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1)	Cyfip Sra-1 CG4931	Drosophila melanogaster (Fruit fly)
Q9VR07	Sodium- and chloride-dependent GABA transporter ine (Protein inebriated) (Protein receptor oscillation A)	ine rosA CG15444	Drosophila melanogaster (Fruit fly)
Q9VSL7	Zinc transporter foi (Protein fear-of-intimacy) (Protein kastchen)	foi CG6817	Drosophila melanogaster (Fruit fly)
Q9VTT0	Semaphorin 5c	Sema5c DSema 3a DSema 5C sema 5c Sema-3a Sema-5c CG5661	Drosophila melanogaster (Fruit fly)
Q9W0S9	Disco-interacting protein 2	DIP2 CG7020	Drosophila melanogaster (Fruit fly)
Q9Y0A7	Basic helix-loop-helix transcription factor amos (Absent MD neurons and olfactory sensilla protein) (Amos protein) (Reduced olfactory organs protein) (Rough eye protein)	amos Roi rolo CG10393	Drosophila melanogaster (Fruit fly)
B4HNW4	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GM20393	Drosophila sechellia (Fruit fly)
B4KPU0	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GI18649	Drosophila mojavensis (Fruit fly)
B4NBP4	Spastin (EC 5.6.1.1)	spas GK11148	Drosophila willistoni (Fruit fly)
B3NS99	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GG22613	Drosophila erecta (Fruit fly)
B4JII0	Spastin (EC 5.6.1.1)	spas GH18484	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)
B4K799	Spastin (EC 5.6.1.1)	spas GI24145	Drosophila mojavensis (Fruit fly)
Q298L4	Spastin (EC 5.6.1.1)	spas GA19274	Drosophila pseudoobscura pseudoobscura (Fruit fly)
B4GBH0	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GL11545	Drosophila persimilis (Fruit fly)
B4P5Q9	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GE13482	Drosophila yakuba (Fruit fly)
B4PL32	Spastin (EC 5.6.1.1)	spas GE23439	Drosophila yakuba (Fruit fly)
B4G437	Spastin (EC 5.6.1.1)	spas GL23394	Drosophila persimilis (Fruit fly)
B4M0H8	Spastin (EC 5.6.1.1)	spas GJ24660	Drosophila virilis (Fruit fly)
B4MR28	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GK21983	Drosophila willistoni (Fruit fly)
B4QSF0	Spastin (EC 5.6.1.1)	spas GD21056	Drosophila simulans (Fruit fly)
B3M301	Spastin (EC 5.6.1.1)	spas GF17034	Drosophila ananassae (Fruit fly)
B3MH43	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GF12649	Drosophila ananassae (Fruit fly)
B3P8A3	Spastin (EC 5.6.1.1)	spas GG11247	Drosophila erecta (Fruit fly)
B4HGG6	Spastin (EC 5.6.1.1)	spas GM26551	Drosophila sechellia (Fruit fly)
B4QC63	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GD25868	Drosophila simulans (Fruit fly)
Q24746	Protein neuralized	neur neu	Drosophila virilis (Fruit fly)
Q7KRS9	MYND-type zinc finger-containing chromatin reader Zmynd8	Zmynd8 CG1815	Drosophila melanogaster (Fruit fly)
A1Z6J5	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	Tbce CG7861	Drosophila melanogaster (Fruit fly)
P10379	Protein unzipped (Protein zipper)	uzip zip CG3533	Drosophila melanogaster (Fruit fly)
P13095	Enhancer of split m4 protein (E(spl)m4)	E(spl)m4-BFM m4 CG6099	Drosophila melanogaster (Fruit fly)
O97177	Enhancer of split M2 protein (E(spl)m2)	E(spl)m2-BFM m2 CG6104	Drosophila melanogaster (Fruit fly)
P18490	Protein pecanex	pcx CG3443	Drosophila melanogaster (Fruit fly)
B3MRI9	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GF20991	Drosophila ananassae (Fruit fly)
B4H3U8	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GL15243	Drosophila persimilis (Fruit fly)
B4L535	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GI21654	Drosophila mojavensis (Fruit fly)
B4JLX2	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GH24540	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)
B5DKS8	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GA22927	Drosophila pseudoobscura pseudoobscura (Fruit fly)
Q26473	Semaphorin-1A (Fasciclin IV) (Fasciclin-4) (Semaphorin-I) (Sema I)	SEMA-1A FAS4	Schistocerca americana (American grasshopper)
Q290N5	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GA21443	Drosophila pseudoobscura pseudoobscura (Fruit fly)
B4IL64	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GM11957	Drosophila sechellia (Fruit fly)
B4N1W9	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GK16217	Drosophila willistoni (Fruit fly)
B4Q0P3	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GE17492	Drosophila yakuba (Fruit fly)
P49291	Lazarillo protein		Schistocerca americana (American grasshopper)
B3NY03	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GG17592	Drosophila erecta (Fruit fly)
B4M709	Neuropathy target esterase sws (Swiss cheese) (EC 3.1.1.5)	sws GJ16892	Drosophila virilis (Fruit fly)
Q17237	Silk gland factor 3 (SGF-3) (POU domain protein M1)	SGF3 POU-M1	Bombyx mori (Silk moth)
Q9VX39	Transmembrane protein 41 homolog (Protein stasimon)	stas CG8408	Drosophila melanogaster (Fruit fly)
Q9VEI9	Homeobox protein Hmx (DHmx)	Hmx CG43748	Drosophila melanogaster (Fruit fly)
O77215	Homeobox protein unc-4 (Paired-like homeodomain protein unc-4) (DPHD-1)	unc-4 CG6269	Drosophila melanogaster (Fruit fly)
O97179	Enhancer of split m6 protein (E(spl)m6)	E(spl)m6-BFM m6 CG8354	Drosophila melanogaster (Fruit fly)
Q26307	Protein anachronism	ana CG8084	Drosophila melanogaster (Fruit fly)
B4GBN7	F-box/SPRY domain-containing protein 1	Fsn GL10506	Drosophila persimilis (Fruit fly)
B4KNC5	F-box/SPRY domain-containing protein 1	Fsn GI18764	Drosophila mojavensis (Fruit fly)
B4LMQ3	F-box/SPRY domain-containing protein 1	Fsn GJ21788	Drosophila virilis (Fruit fly)
Q29L39	Protein purity of essence	poe GA13010	Drosophila pseudoobscura pseudoobscura (Fruit fly)
Q290L5	F-box/SPRY domain-containing protein 1	Fsn GA18323	Drosophila pseudoobscura pseudoobscura (Fruit fly)
B0X9V1	F-box/SPRY domain-containing protein 1	Fsn CPIJ016123	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)
B4HQ29	F-box/SPRY domain-containing protein 1	Fsn GM20297	Drosophila sechellia (Fruit fly)
Q26972	Semaphorin-1A (Semaphorin-I)	SEMA-1A TSEMA-I	Tribolium confusum (Confused flour beetle)
Q299G2	Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1)	Cyfip Sra-1 GA18534	Drosophila pseudoobscura pseudoobscura (Fruit fly)
Q7QGL9	F-box/SPRY domain-containing protein 1	Fsn AGAP012460	Anopheles gambiae (African malaria mosquito)
B3NRP1	F-box/SPRY domain-containing protein 1	Fsn GG22511	Drosophila erecta (Fruit fly)
B4MR59	F-box/SPRY domain-containing protein 1	Fsn GK22006	Drosophila willistoni (Fruit fly)
B4P4K8	F-box/SPRY domain-containing protein 1	Fsn GE13381	Drosophila yakuba (Fruit fly)
P22648	Fasciclin-2 (Fasciclin II) (FAS II)	FAS2	Schistocerca americana (American grasshopper)
Q16XV7	F-box/SPRY domain-containing protein 1	Fsn AAEL008758	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
Q293Q2	Zinc finger protein squeeze	sqz GA18968	Drosophila pseudoobscura pseudoobscura (Fruit fly)
Q9XZC8	Semaphorin-2A (Sema-2A) (Sema II)	SEMA-2A	Schistocerca gregaria (Desert locust) (Gryllus gregarius)
B3MDR0	F-box/SPRY domain-containing protein 1	Fsn GF12960	Drosophila ananassae (Fruit fly)
B4J6Q0	F-box/SPRY domain-containing protein 1	Fsn GH21169	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)
B4QE02	F-box/SPRY domain-containing protein 1	Fsn GD25778	Drosophila simulans (Fruit fly)
Q07291	Enhancer of split m8 protein (E(spl)m8)	E(spl)m8-HLH E(spl) M8	Drosophila hydei (Fruit fly)
